text,sentiment,set
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,train
18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,positive,train
Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn .,negative,train
Unit costs for flight operations fell by 6.4 percent .,positive,train
The costs of the new ropax vessels are 30 % lower than those of the present ones .,positive,train
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,positive,train
Applying for summer work is seen as laborious and stressful .,negative,test
Stora Enso 's target has been cut to EUR 4.85 from EUR 5.55 and Holmen 's target -- to SEK 135 from SEK 150 .,negative,train
Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate .,negative,train
"According to Aktia Asset Management , Finnish analysts ' forecasts for 2009 are still too high .",negative,train
"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 .",negative,train
"Dirk Jones , head of Financial Institutions Client Sales Management , GTS , Citigroup , Inc , said , ` Citi is extremely pleased to be providing global custody services to Pohjola Group Bank .",positive,train
The Group also has a strong global position in other fishing categories .,positive,train
The 2015 target for net sales has been set at EUR 1bn and the target for return on investment at over 20 % .,positive,train
Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,negative,train
"Profit per share was EUR 1.03 , up from EUR 0.87 .",positive,test
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",negative,train
Earnings per share were at loss of EUR0 .24 .,negative,train
"Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , Tulonen continues .",positive,train
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",positive,test
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",negative,train
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",negative,test
"The staff reduction will start immediately , Glaston added .",negative,train
"Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .",negative,train
Subscription sales decreased slightly .,negative,train
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,positive,train
"The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .",positive,test
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive,train
Nordea sees a return to positive growth for the Baltic countries in 2011 .,positive,test
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive,train
"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier .",positive,train
"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .",positive,test
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .",negative,test
The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .,positive,train
Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .,negative,test
Finnish Bank of +_land +_landsbanken has issued a profit warning .,negative,train
The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,positive,train
"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .",positive,test
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive,test
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .,negative,test
The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,positive,test
"Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros , the biggest fall since June .",negative,train
"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid-May , it said .",negative,train
Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,negative,train
Sales by Seppala diminished by 6 per cent .,negative,train
EPS dropped to EUR0 .2 from EUR0 .3 .,negative,train
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",negative,train
The long-term contract is global .,positive,train
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,positive,train
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",negative,test
"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",positive,train
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",negative,train
Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,positive,test
Ramirent is the leading construction machinery rental company in Finland with annual sales of EUR 134 million in 2009 and operating nationwide through 83 outlets and 612 employees .,positive,train
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,negative,test
"At this growth rate , paying off the national debt will be extremely painful .",negative,test
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .",negative,train
"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said .",positive,train
The employment contracts of 14 of the employees will end in March 2009 as a result of the company 's previous employer-employee talks .,negative,train
Stockmann MasterCard has widened the scope of this cooperation to Estonia and Latvia .,positive,train
"I am looking forward to contribute to SRV 's success with my competence '' , says Taneli Hassinen .",positive,train
"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .",negative,train
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",negative,train
"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before .",negative,test
"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",negative,test
"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",positive,test
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",positive,train
The first ship has been delayed and is estimated to be completed in spring 2010 .,negative,train
This is bad news for the barbeque season .,negative,test
"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",positive,train
"At present , the trade mark Pit-Produkt is little-known outside the North-West of Russia .",negative,test
All of Raisio 's divisions recorded an operating profit .,positive,train
Finnish M-real 's Kyro mill is starting negotiations to cut staff .,negative,train
"The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said .",positive,train
"`` Adjustment to the fall in price level , in contrast , has been less effective .",negative,train
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,negative,train
"As production of other products will continue normally , temporary lay-offs concern simultaneously at most 80 employees .",negative,train
"As a result , the distribution companies will start to distribute , in addition to their current product offering , Shimano reels , rods and other Shimano fishing tackle products on an exclusive basis .",positive,test
The completion of the recycling plant is an important link in the chain of creating a waste management system in the Dubna region that meets the EU standards .,positive,train
Net profit was 35.5 mln compared with 29.8 mln .,positive,train
"According to Finnish Aktia Bank 's Managing Director Jussi Laitinen , the bank 's aim is to triple the number of its customers in Finland in the next five years .",positive,train
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive,train
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",negative,train
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,positive,train
"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",negative,train
Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,positive,train
"That 's what I go to bed worrying about every night , ' he said .",negative,test
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,positive,test
The reduction notice applied to 17 people .,negative,train
"`` The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",positive,train
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland .",negative,test
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",negative,train
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,positive,train
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,negative,train
"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .",positive,train
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",negative,train
UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .,negative,train
"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",positive,train
Acquisitions have been made and businesses have been well integrated .,positive,test
"Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia .",positive,train
"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 .",positive,train
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,negative,train
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .",negative,test
"Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur .",negative,test
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,negative,train
Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .,positive,train
"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .",positive,train
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .",negative,train
The company initially estimated that it would cut up to 30 jobs .,negative,train
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,test
"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",positive,train
"In Q1 of 2009 , Bank of +_land 's net interest income weakened by 10 % to EUR 9.1 mn .",negative,test
The measures result from weak demand in the shipbuilding industry .,negative,train
"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .",negative,train
"In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings .",negative,test
"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",positive,train
"`` Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .",positive,train
"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",negative,test
"Combining the two producers will create a strong EU-based fertilizer industry capable of meeting global competition , they added .",positive,train
"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been awarded an order for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .",positive,train
"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market .",positive,train
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive,train
Revenues at the same time grew 14 percent to 43 million euros .,positive,test
"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 .",negative,train
"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",negative,test
"The poorest index figure was given to Finnish power company Fortum , 4.5 .",negative,test
"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday .",positive,test
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",positive,train
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,negative,train
The airline 's share price closed down slightly at (  x20ac ) 12.51 ( $ 15US .74 ) in Helsinki .,negative,train
The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 .,positive,test
