text,sentiment
"ASPO Plc STOCK EXCHANGE ANNOUNCEMENT May 4 , 2006 at 10:00 a.m. An increase in the share capital of Aspo Plc totaling EUR 1,125.60 was registered today .",positive
"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",negative
"Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007 .",negative
"( ADP News ) Nov 5 , 2008 Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",positive
Benefon 's target is to lay off temporarily of permanently up to 20 % of the Salo plant 's staff .,negative
'' The Government has had a very professional approach in assessing the offer .,positive
"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .",positive
The company expects its net sales in the first half of 2008 to reach the previous year 's level .,positive
"In Finland , Sampo Bank , now part of the Danske Bank group , will lay off staff from the administrative and support functions .",negative
"The Dutch broker noted that Nokian Tyres reported a good first quarter in 2006 , above or in line with consensus .",positive
"In complying with the European Water Framework Directive requirements , the pre-treatment unit will be fully renovated , including hydraulics of waste water inception , degridding , sand and grease removal and treatment and deodorization of the unit .",positive
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .",negative
"ADPnews Jul 17 , 2009 Finland-based steel maker Rautaruukki Oyj Ruukki HEL RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2",negative
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",negative
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative
"According to the company , staff will be laid off temporarily when necessary .",negative
"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",negative
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",negative
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",negative
"As a result of the negotiations , the company will terminate total 5 employment contracts .",negative
Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,positive
EBIT excluding non-recurring items was estimated to increase from 2009 .,positive
"Raisio 's bid to buy Glisten is a '' win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February .",positive
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,negative
'' Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .,positive
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",positive
Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .,positive
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .",negative
The company feels these leases are prime locations due to several producing formations in the immediate area .,positive
"Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 .",positive
As a result some 20 persons will no longer be needed .,negative
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",negative
"'' The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said .",negative
"During the past decade it has gradually divested noncore assets and bought several sports equipment makers , including California-based Fitness Products International and Sparks , Nevada-based ATEC , a leading maker of baseball and softball pitching machines .",positive
"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .",negative
Finnair said that the cancellation of flights would cause daily losses of x20ac 2.5 million US$ 3 million .,negative
Business boomed after Ostrom helped plant a small story about Rapala lures in a Life magazine issue that featured Marilyn Monroe on the cover .,positive
55 workers in +_m+_l will be affected by the close-down .,negative
Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,negative
"ADP News Feb 13 , 2009 Finnish retailer Kesko Oyj HEL KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",negative
One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and halt production .,negative
Sports equipment sales also progressed well owing to the prolonged winter season .,positive
"According to the CEO of Nordea Bank Estonia Vahur Kraft , Nordea Finland and Stockmann have been cooperating for more than ten years .",positive
"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .",negative
The current lay-offs are additional to the temporary lay-offs agreed in December 2008 and in May 2009 .,negative
Consumption is forecast to grow by about 2 % .,positive
'' The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',positive
Elektrobit ( EB ) has renewed its IT infrastructure contract with ICT services provider Fujitsu Services for EB 's Patja service .,positive
Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .,negative
"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .",positive
Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,negative
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",negative
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .,negative
"Last year , UPM cut production , closed mills in Finland and slashed 700 jobs .",negative
"We are very excited working with Maxis on this first commercial deployment of ' Master of Maya ' , said Joe Doering , Head of the Asia South region at Nokia Siemens Networks .",positive
"( ADP News ) Jan 27 , 2009 Finnish industrial machinery company Vaahto Group Ltd Oyj ( HEL WAT1S ) said today that its subsidiary Vaahto Ltd would cut 15 jobs in Finland .",negative
That would be an increase from estimated sales of 117 million last year .,positive
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",negative
"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",positive
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",negative
"In Finland , media group Talentum will start personnel negotiations to cut staff in parent company Talentum and publishing unit Talentum media .",negative
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,negative
The number of bodily injury cases quadrupled in 2000-2006 .,negative
"In the first half of 2008 , the Bank 's operating profit fell to EUR 11.8 mn from EUR 18.9 mn , while net interest income increased to EUR 20.9 mn from EUR 18.8 mn in the first half of 2007 .",negative
"The shopping center to be opened in St. Petersburg , Russia in November 2010 will turn the cash flow of Finnish department store chain Stockmann 's Russian operations positive for the first time in 2011 .",positive
Altogether Finnair has canceled over 500 flights because of the strike .,negative
The Finnish daily Kauppalehti surmises that Finnish supplier Rautaruukki has raised its prices above Aker 's comfort zone .,negative
"In addition to the Indian market , the new plant will serve Salcomp 's customers globally , the company said .",positive
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",positive
Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .,positive
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,negative
"Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 .",positive
Net sales dropped by 6 % year-on-year to EUR 11.9 million .,negative
"Jens Schulte-Bockum , Vodafone 's global director of terminals , said the company expects to sell one to two million of the Vodafone 125 and 225 models in the first year of launch , and potentially tens of millions over the lifetime of the device .",positive
"The pilot project proved that RIFD technology is ideal for our purposes '' , comments Olli Saarinen , Material Handling Supervisor at Yara .",positive
"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .",negative
Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 .,negative
"Operating profit of Kauppalehti group rose to EUR 1.5 mn from EUR 1.3 mn , and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 .",positive
"'' Uncommonly weak snow conditions in nearly every market have affected our first quarter result , '' Chief Executive Roger Talermo said .",negative
The terms of the aforementioned funding are considerably below the Bank 's current CDS levels in the market and have a maturity ranging from 1 to 7.5 years .,negative
"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 .",negative
"As a result , the company has decided it will implement fixed-term temporary lay-offs .",negative
The company decided at the end of 2008 to temporarily shut down its ammonia plant in Billingham and extend the maintenance period at its Ince facility .,negative
"Dubai Nokia has announced the launch of '' Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music .",positive
It will combine and renew the contents and functionality of the current systems for funding and online service as well as their maintenance .,positive
'' Those uncertainties cloud the long-term outlook . '',negative
The rebuilds are designed to improve the machines ' performance and product quality .,positive
"Myllykoski , with one paper plant in Finland , one in the US and three in Germany , had revenues of EUR286m in the first half of 2010 and an operating loss of EUR12m , Reuters said .",negative
Pretax profit rose to EUR 0.6 mn from EUR 0.4 mn in the corresponding period in 2005 .,positive
Finnish plumbing and heating systems supplier Uponor is temporarily laying off its whole workforce in Finland for two weeks as of mid-July 2009 .,negative
The operating margin of Aker Yards Cruise Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative
18 January 2010 Finnish IT consultancy Trainers ' House Oyj HEL TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,positive
Net sales fell by 33 % from the third quarter of 2008 to EUR 130.5 mn .,negative
Unit costs for flight operations fell by 6.4 percent .,positive
The costs of the new ropax vessels are 30 % lower than those of the present ones .,positive
SKF 6 April 2010 Alandsbanken has given a '' buy '' recommendation on Swedish industrial company SKF AB ( STO SKF B ) with a share price target of SEK150 .,positive
Applying for summer work is seen as laborious and stressful .,negative
Stora Enso 's target has been cut to EUR 4.85 from EUR 5.55 and Holmen 's target to SEK 135 from SEK 150 .,negative
Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki SAL1V on Wednesday 19 November lowered its full-year net sales estimate .,negative
"According to Aktia Asset Management , Finnish analysts ' forecasts for 2009 are still too high .",negative
"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , falling short of the EUR22 .5 m it posted for the same period of 2009 .",negative
"Dirk Jones , head of Financial Institutions Client Sales Management , GTS , Citigroup , Inc , said , ' Citi is extremely pleased to be providing global custody services to Pohjola Group Bank .",positive
The Group also has a strong global position in other fishing categories .,positive
The 2015 target for net sales has been set at EUR 1bn and the target for return on investment at over 20 % .,positive
Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .,negative
"Profit per share was EUR 1.03 , up from EUR 0.87 .",positive
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",negative
Earnings per share were at loss of EUR0 .24 .,negative
"Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , Tulonen continues .",positive
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",positive
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",negative
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",negative
"The staff reduction will start immediately , Glaston added .",negative
"Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of 0.4 % .",negative
Subscription sales decreased slightly .,negative
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,positive
"The planned facility , estimated to cost around $ 814 million , would be the largest biodiesel plant in the world , and use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .",positive
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",positive
Nordea sees a return to positive growth for the Baltic countries in 2011 .,positive
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",positive
"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to ( x20ac ) 47 million ( $ 61US million ) , from ( x20ac ) 40.8 million a year earlier .",positive
"In the fourth quarter of 2009 , Orion 's net profit went up by 33.8 % year-on-year to EUR33m .",positive
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier .",negative
The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .,positive
Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .,negative
Finnish Bank of +_land +_landsbanken has issued a profit warning .,negative
The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,positive
"Section Regional News The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .",positive
"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",positive
Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as '' cry babies '' .,negative
The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,positive
"Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros , the biggest fall since June .",negative
"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid-May , it said .",negative
Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,negative
Sales by Seppala diminished by 6 per cent .,negative
EPS dropped to EUR0 .2 from EUR0 .3 .,negative
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",negative
The long-term contract is global .,positive
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,positive
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",negative
"'' The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",positive
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",negative
Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,positive
Ramirent is the leading construction machinery rental company in Finland with annual sales of EUR 134 million in 2009 and operating nationwide through 83 outlets and 612 employees .,positive
11 August 2010 Finnish measuring equipment maker Vaisala Oyj HEL VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,negative
"At this growth rate , paying off the national debt will be extremely painful .",negative
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .",negative
"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said .",positive
The employment contracts of 14 of the employees will end in March 2009 as a result of the company 's previous employer-employee talks .,negative
Stockmann MasterCard has widened the scope of this cooperation to Estonia and Latvia .,positive
"I am looking forward to contribute to SRV 's success with my competence '' , says Taneli Hassinen .",positive
"Pretax loss totaled EUR 1.2 mn , down from a profit of EUR 2.1 mn in 2004 .",negative
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",negative
"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before .",negative
"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",negative
"26 January 2011 Finnish metal products company Componenta Oyj ( HEL CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",positive
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",positive
The first ship has been delayed and is estimated to be completed in spring 2010 .,negative
This is bad news for the barbeque season .,negative
"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",positive
"At present , the trade mark Pit-Produkt is little-known outside the North-West of Russia .",negative
All of Raisio 's divisions recorded an operating profit .,positive
Finnish M-real 's Kyro mill is starting negotiations to cut staff .,negative
"The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said .",positive
"'' Adjustment to the fall in price level , in contrast , has been less effective .",negative
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,negative
"As production of other products will continue normally , temporary lay-offs concern simultaneously at most 80 employees .",negative
"As a result , the distribution companies will start to distribute , in addition to their current product offering , Shimano reels , rods and other Shimano fishing tackle products on an exclusive basis .",positive
The completion of the recycling plant is an important link in the chain of creating a waste management system in the Dubna region that meets the EU standards .,positive
Net profit was 35.5 mln compared with 29.8 mln .,positive
"According to Finnish Aktia Bank 's Managing Director Jussi Laitinen , the bank 's aim is to triple the number of its customers in Finland in the next five years .",positive
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",negative
Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,positive
"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",negative
Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,positive
"That 's what I go to bed worrying about every night , ' he said .",negative
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,positive
The reduction notice applied to 17 people .,negative
"'' The priority for 2009 was to strengthen the company 's balance sheet and increase cash flow , '' CEO Hannu Krook said .",positive
"Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola , in Finland .",negative
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",negative
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,positive
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,negative
"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .",positive
"Managing Director 's comments '' Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",negative
UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .,negative
"'' Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",positive
Acquisitions have been made and businesses have been well integrated .,positive
"Recovery has been evident in the liquid handling business , particularly in areas outside Europe and primarily in North America and Asia .",positive
"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 .",positive
18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,negative
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .",negative
"Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur .",negative
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,negative
Revenue grew 12 percent to ( x20ac ) 3.6 billion ( US$ 4.5 billion ) .,positive
"Technopolis and the St. Petersburg government signed a cooperation memorandum in October 2005 to set up a techno-park in the Neudorf production zone in the village of Strelny , in the St. Petersburg suburbs .",positive
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005 .",negative
The company initially estimated that it would cut up to 30 jobs .,negative
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive
"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",positive
"In Q1 of 2009 , Bank of +_land 's net interest income weakened by 10 % to EUR 9.1 mn .",negative
The measures result from weak demand in the shipbuilding industry .,negative
"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .",negative
"In the Baltic countries , development of operations and reorganisation continued , and non-recurring items related to the takeover process lowered earnings .",negative
"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",positive
"'' Installation of the automatic varnishing line is an important part of the company 's strategy in the region of central and eastern Europe , '' said Jozef Misurec , the director of Ruukki Slovakia .",positive
"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",negative
"Combining the two producers will create a strong EU-based fertilizer industry capable of meeting global competition , they added .",positive
"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been awarded an order for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .",positive
"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market .",positive
"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .",positive
Revenues at the same time grew 14 percent to 43 million euros .,positive
"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 .",negative
"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",negative
"The poorest index figure was given to Finnish power company Fortum , 4.5 .",negative
"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday .",positive
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",positive
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,negative
The airline 's share price closed down slightly at ( x20ac ) 12.51 ( $ 15US .74 ) in Helsinki .,negative
The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 .,positive
The low capacity utilisation rate in steel production considerably increases the fixed costs per unit of steel produced .,negative
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",negative
"ADP News May 29 , 2009 Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL STERV and on Finnish sector player UPM-Kymmene Oyj HEL UPM1V to '' underperf",negative
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,negative
And U.S. energy executives say high steel prices are threatening energy exploration .,negative
The current reference grade instruments are challenging to operate due to their high price and complexity for routine use .,negative
"Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan , as well as flights between Manchester in the UK and Helsinki in Finland .",positive
"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year .",negative
"Finnish lifting equipment maker Kone Oyj said on October 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA .",positive
"According to PKC , the acquisition would bring a significant addition to PKC 's customer base .",positive
