text,lemmas,ngrams,named_ents,sentiment
"The tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 and 48-page products side by side .","['tower', 'choose', 'add', 'operation', 'summer', 'increase', 'total', 'capacity', 'broadsheet', 'tabloid', 'page', 'ability', 'run', 'page', 'product']","['total_capacity', 'tabloid_page']",[],positive
"Operating profit for the nine-month period decreased from EUR19 .9 m while net sales increased from EUR155 .7 m , as compared to the corresponding period in 2007 .","['operate', 'profit', 'month', 'period', 'decrease', 'm', 'net', 'sale', 'increase', 'm', 'compare', 'corresponding', 'period']","['operate_profit', 'net_sale', 'corresponding_period']",[],negative
"ASPO Plc STOCK EXCHANGE ANNOUNCEMENT May 4 , 2006 at 10:00 a.m. An increase in the share capital of Aspo Plc totaling EUR 1,125.60 was registered today .","['announcement', 'a.m.', 'increase', 'share', 'capital', 'total', 'register', 'today']",['register_today'],[],positive
"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .","['snow', 'storm', 'bring', 'tree', 'power', 'line', 'cut', 'electricity', 'household']",['bring_tree'],['Finland/GPE'],negative
"Pretax profit totaled EUR 9.0 mn , down from EUR 36.3 mn in 2007 .","['pretax', 'profit', 'total']",['pretax_profit'],[],negative
"( ADP News ) Nov 5 , 2008 Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1","['finnish', 'electronic', 'measurement', 'product', 'solution', 'maker', 'say', 'today', 'net', 'profit', 'rise', 'm', 'month']","['electronic_measurement', 'electronic_measurement_product', 'say_today', 'net_profit']",['Vaisala_Oyj/PERSON'],positive
Benefon 's target is to lay off temporarily of permanently up to 20 % of the Salo plant 's staff .,"['target', 'lay', 'temporarily', 'permanently', 'plant', 'staff']",[],['Benefon/PERSON'],negative
'' The Government has had a very professional approach in assessing the offer .,"['professional', 'approach', 'assess', 'offer']",['professional_approach'],[],positive
"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .","['company', 'process', 'build', 'new', 'fleet', 'place', 'order', 'tanker']","['new_fleet', 'place_order']",['P_-_Max/PRODUCT'],positive
The company expects its net sales in the first half of 2008 to reach the previous year 's level .,"['company', 'expect', 'net', 'sale', 'half', 'reach', 'previous', 'year', 'level']","['net_sale', 'first_half', 'previous_year']",[],positive
"In Finland , Sampo Bank , now part of the Danske Bank group , will lay off staff from the administrative and support functions .","['group', 'lay', 'staff', 'administrative', 'support', 'function']",[],['Finland/GPE'],negative
"The Dutch broker noted that Nokian Tyres reported a good first quarter in 2006 , above or in line with consensus .","['dutch', 'broker', 'note', 'report', 'good', 'quarter', 'line', 'consensus']","['dutch_broker', 'first_quarter']",[],positive
"In complying with the European Water Framework Directive requirements , the pre-treatment unit will be fully renovated , including hydraulics of waste water inception , degridding , sand and grease removal and treatment and deodorization of the unit .","['comply', 'requirement', 'pre', 'treatment', 'unit', 'fully', 'renovate', 'include', 'hydraulic', 'waste', 'water', 'inception', 'degridding', 'sand', 'grease', 'removal', 'treatment', 'deodorization', 'unit']","['-_treatment', '-_treatment_unit', 'include_hydraulic']",[],positive
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .","['company', 'see', 'net', 'profit', 'quarter', 'corresponding', 'period']","['net_profit', 'third_quarter', 'corresponding_period']",[],negative
"ADPnews Jul 17 , 2009 Finland-based steel maker Rautaruukki Oyj Ruukki HEL RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2","['base', 'steel', 'maker', 'say', 'today', 'slip', 'net', 'loss', 'usd', 'm', 'half', 'net', 'profit']","['base_steel', 'base_steel_maker', 'say_today', 'net_loss', 'first_half', 'net_profit']","['Finland/GPE', 'Ruukki_HEL_RTRKS/PERSON']",negative
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .","['agricultural', 'newspaper', 'reader', 'represent', 'decrease']",['agricultural_newspaper'],['Maaseudun_Tulevaisuus/PERSON'],negative
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .","['update', 'year', 'outlook', 'estimate', 'result', 'remain', 'loss', 'year']","['full_year', 'full_year_outlook', 'full_year']",[],negative
"According to the company , staff will be laid off temporarily when necessary .","['accord', 'company', 'staff', 'lay', 'temporarily', 'necessary']",[],[],negative
"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .","['result', 'taxis', 'decrease', 'nearly', 'compare', 'nearly', '20mn', 'previous', 'accounting', 'period']","['previous_accounting', 'previous_accounting_period']",[],negative
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .","['pm', 'pct', 'lower', 'pct', 'volume', 'mln', 'eur']",[],[],negative
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .","['result', 'people', 'redundant', 'total', 'person', 'lay', 'temporarily']",[],[],negative
"As a result of the negotiations , the company will terminate total 5 employment contracts .","['result', 'negotiation', 'company', 'terminate', 'total', 'employment', 'contract']",[],[],negative
Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,"['finnish', 'bank', 'sign', 'cooperation', 'agreement', 'concern', 'finnish', 'company', 'investment']",['finnish_company'],['Russia/GPE'],positive
EBIT excluding non-recurring items was estimated to increase from 2009 .,"['exclude', 'non', 'recurring', 'item', 'estimate', 'increase']",['recurring_item'],[],positive
"Raisio 's bid to buy Glisten is a '' win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February .","['bid', 'buy', 'win', 'win', 'deal', 'company', 'chairman', 'snack', 'firm', 'tell', 'food', 'today']",[],"['Raisio/PERSON', 'UK/GPE']",positive
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,"['diluted', 'earning', 'share', 'fall']",['diluted_earning'],[],negative
'' Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .,"['customer', 'satisfied', 'solution', 'extend', 'implementation', 'new', 'geography']",['new_geography'],[],positive
"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .","['net', 'sale', 'see', 'grow', 'm', 'eur582', 'm']",['net_sale'],[],positive
Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .,"['say', 'book', 'minor', 'gain', 'm', 'transaction']",['minor_gain'],[],positive
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .","['world', 'large', 'maker', 'magazine', 'paper', 'report', 'percent', 'profit', 'drop', 'low', 'paper', 'price', 'high', 'cost', 'strong', 'euro', 'hurt', 'revenue']","['large_maker', 'low_paper', 'low_paper_price', 'high_cost', 'strong_euro', 'hurt_revenue']",[],negative
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .","['currency', 'effect', 'pct', 'mln', 'euro', 'mln', 'negative', 'impact', 'revenue']",['negative_impact'],[],negative
The company feels these leases are prime locations due to several producing formations in the immediate area .,"['company', 'feel', 'lease', 'prime', 'location', 'produce', 'formation', 'immediate', 'area']","['prime_location', 'produce_formation', 'immediate_area']",[],positive
"Operating profit totaled EUR 825mn , up from EUR 763mn in 2004 .","['operate', 'profit', 'total', '825mn', '763mn']",['operate_profit'],[],positive
As a result some 20 persons will no longer be needed .,"['result', 'person', 'long', 'need']",[],[],negative
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .","['month', 'sale', 'control', 'finnish', 'brewery', 'decline', 'percent', 'liter', 'company', 'hold', 'percent', 'market']",['finnish_brewery'],[],negative
"'' The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said .","['implementation', 'program', 'negative', 'impact', 'earning', 'say']",['negative_impact'],['Meiklejohn/PERSON'],negative
"During the past decade it has gradually divested noncore assets and bought several sports equipment makers , including California-based Fitness Products International and Sparks , Nevada-based ATEC , a leading maker of baseball and softball pitching machines .","['past', 'decade', 'gradually', 'divest', 'noncore', 'asset', 'buy', 'sport', 'equipment', 'maker', 'include', 'base', 'base', 'lead', 'maker', 'baseball', 'softball', 'pitching', 'machine']","['past_decade', 'noncore_asset', 'several_sport', 'several_sport_equipment', 'several_sport_equipment_maker', 'lead_maker']","['California/GPE', 'Sparks/GPE', 'Nevada/GPE']",positive
"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .","['operate', 'profit', 'exclude', 'non', 'recurring', 'item', 'amount', 'year', 'year']","['operate_profit', 'recurring_item']",[],negative
Finnair said that the cancellation of flights would cause daily losses of x20ac 2.5 million US$ 3 million .,"['say', 'cancellation', 'flight', 'cause', 'daily', 'loss']",['daily_loss'],[],negative
Business boomed after Ostrom helped plant a small story about Rapala lures in a Life magazine issue that featured Marilyn Monroe on the cover .,"['business', 'boom', 'help', 'plant', 'small', 'story', 'lur', 'magazine', 'issue', 'feature', 'cover']",['small_story'],"['Rapala/PRODUCT', 'Marilyn_Monroe/PERSON']",positive
55 workers in +_m+_l will be affected by the close-down .,"['worker', '+', 'm+_l', 'affect', 'close']",[],[],negative
Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,"['operating', 'loss', 'amount', 'half', 'compare', 'profit', 'half']","['first_half', 'first_half']",[],negative
"ADP News Feb 13 , 2009 Finnish retailer Kesko Oyj HEL KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea","['finnish', 'retailer', 'say', 'today', 'total', 'sale', 'exclude', 'value', 'add', 'tax', 'vat', 'stand', 'm', 'year', 'yea']","['finnish_retailer', 'say_today', 'total_sale', 'exclude_value', 'add_tax', 'add_tax_vat']",['Kesko_Oyj_HEL_KESBV/PERSON'],negative
One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and halt production .,"['challenge', 'oil', 'production', 'scale', 'formation', 'plug', 'pipeline', 'halt', 'production']","['plug_pipeline', 'halt_production']",[],negative
Sports equipment sales also progressed well owing to the prolonged winter season .,"['sport', 'equipment', 'sale', 'progress', 'owe', 'prolonged', 'winter', 'season']","['prolonged_winter', 'prolonged_winter_season']",[],positive
"According to the CEO of Nordea Bank Estonia Vahur Kraft , Nordea Finland and Stockmann have been cooperating for more than ten years .","['accord', 'ceo', 'cooperate', 'year']",[],['Nordea_Finland/PERSON'],positive
"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .","['accord', 'demand', 'telecommunication', 'network', 'product', 'fluctuate', 'significantly', 'quarter', 'situation', 'expect', 'remain', 'unstable', 'rest', 'year']",['third_quarter'],[],negative
The current lay-offs are additional to the temporary lay-offs agreed in December 2008 and in May 2009 .,"['current', 'lay', 'off', 'additional', 'temporary', 'lay', 'off', 'agree']","['current_lay', 'temporary_lay']",[],negative
Consumption is forecast to grow by about 2 % .,"['consumption', 'forecast', 'grow']",[],[],positive
'' The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',"['announce', 'investment', 'carmaker', 'example', 'sound', 'optimistically', 'course', 'new', 'car', 'mean', 'new', 'tire']","['announce_investment', 'new_car', 'new_tire']",[],positive
Elektrobit ( EB ) has renewed its IT infrastructure contract with ICT services provider Fujitsu Services for EB 's Patja service .,"['elektrobit', 'renew', 'infrastructure', 'contract', 'service', 'provider', 'service']",[],[],positive
Kone said in court papers that the union action delayed repairs to elevators at the federal courthouse on Jan. 21 and the Saltonstall state office building on Jan. 23 .,"['say', 'court', 'paper', 'union', 'action', 'delay', 'repair', 'elevator', 'federal', 'courthouse', 'state', 'office', 'building']","['delay_repair', 'federal_courthouse']","['Kone/PERSON', 'Saltonstall/PERSON']",negative
"Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .","['sale', 'come', 'mln', 'eur', 'compare', 'mln', 'beat', 'consensus', 'forecast', 'mln', 'eur']","['beat_consensus', 'beat_consensus_forecast']",[],positive
Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,"['operate', 'profit', 'fall', 'quarter']","['operate_profit', 'third_quarter']",[],negative
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .","['lodge', 'counter', 'claim', 'total', 'm', 'primarily', 'base', 'work', 'carry', 'contract', 'additional', 'cost', 'incur', 'prolongation', 'project']","['lodge_counter', 'lodge_counter_claim', 'additional_cost']",[],negative
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .,"['sale', 'segment', 'fall', 'year', 'year', 'm']",[],['Tiimari/PERSON'],negative
"Last year , UPM cut production , closed mills in Finland and slashed 700 jobs .","['year', 'cut', 'production', 'closed', 'mill', 'slash', 'job']","['last_year', 'closed_mill']",['Finland/GPE'],negative
"We are very excited working with Maxis on this first commercial deployment of ' Master of Maya ' , said Joe Doering , Head of the Asia South region at Nokia Siemens Networks .","['excited', 'work', 'commercial', 'deployment', 'say', 'region']",['commercial_deployment'],"['Maxis/PERSON', ""'_Master_of_Maya_'/WORK_OF_ART"", 'Joe_Doering/PERSON']",positive
"( ADP News ) Jan 27 , 2009 Finnish industrial machinery company Vaahto Group Ltd Oyj ( HEL WAT1S ) said today that its subsidiary Vaahto Ltd would cut 15 jobs in Finland .","['finnish', 'industrial', 'machinery', 'company', 'wat1s', 'say', 'today', 'subsidiary', 'cut', 'job']","['industrial_machinery', 'industrial_machinery_company', 'say_today']",['Finland/GPE'],negative
That would be an increase from estimated sales of 117 million last year .,"['increase', 'estimate', 'sale', 'year']","['estimate_sale', 'last_year']",[],positive
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .","['operate', 'profit', 'margin', 'compare', 'year', 'early']","['operate_profit', 'operate_profit_margin']",[],negative
"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .","['product', 'base', 'high', 'tech', 'expertise', 'generate', 'add', 'value', 'customer', 'innovative', 'product', 'development', 'extremely', 'efficient', 'production', 'process']","['add_value', 'innovative_product', 'innovative_product_development', 'efficient_production', 'efficient_production_process']",[],positive
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .","['expect', 'lower', 'growth', 'forecast', 'current', 'guidance', 'pct', 'operate', 'margin', 'target', 'current', 'pct']","['current_guidance', 'operate_margin', 'operate_margin_target']","[""Nobel_Biocare_'s/WORK_OF_ART""]",negative
"In Finland , media group Talentum will start personnel negotiations to cut staff in parent company Talentum and publishing unit Talentum media .","['medium', 'group', 'start', 'personnel', 'negotiation', 'cut', 'staff', 'parent', 'company', 'publishing', 'unit', 'medium']","['start_personnel', 'start_personnel_negotiation', 'cut_staff']","['Finland/GPE', 'Talentum/PERSON', 'Talentum/GPE', 'Talentum/GPE']",negative
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,"['finnish', 'insurance', 'company', 'end', 'loyal', 'customer', 'cooperation']","['finnish_insurance', 'finnish_insurance_company', 'loyal_customer', 'loyal_customer_cooperation']",[],negative
The number of bodily injury cases quadrupled in 2000-2006 .,"['number', 'bodily', 'injury', 'case', 'quadruple']","['bodily_injury', 'bodily_injury_case']",[],negative
"In the first half of 2008 , the Bank 's operating profit fell to EUR 11.8 mn from EUR 18.9 mn , while net interest income increased to EUR 20.9 mn from EUR 18.8 mn in the first half of 2007 .","['half', 'operating', 'profit', 'fall', 'net', 'interest', 'income', 'increase', 'half']","['first_half', 'net_interest', 'net_interest_income', 'first_half']",[],negative
"The shopping center to be opened in St. Petersburg , Russia in November 2010 will turn the cash flow of Finnish department store chain Stockmann 's Russian operations positive for the first time in 2011 .","['shopping', 'center', 'open', 'turn', 'cash', 'flow', 'finnish', 'department', 'store', 'chain', 'russian', 'operation', 'positive', 'time']","['finnish_department', 'finnish_department_store', 'finnish_department_store_chain', 'russian_operation', 'first_time']","['St._Petersburg/GPE', 'Russia/GPE']",positive
Altogether Finnair has canceled over 500 flights because of the strike .,"['cancel', 'flight', 'strike']",[],[],negative
The Finnish daily Kauppalehti surmises that Finnish supplier Rautaruukki has raised its prices above Aker 's comfort zone .,"['finnish', 'daily', 'surmise', 'finnish', 'supplier', 'raise', 'price', 'comfort', 'zone']",['finnish_supplier'],['Aker/PERSON'],negative
"In addition to the Indian market , the new plant will serve Salcomp 's customers globally , the company said .","['addition', 'indian', 'market', 'new', 'plant', 'serve', 'customer', 'globally', 'company', 'say']","['indian_market', 'new_plant']",[],positive
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .","['operate', 'profit', 'net', 'sale', 'month', 'period', 'increase', 'respectively', 'm', 'm', 'compare', 'financial', 'year']","['operate_profit', 'net_sale', 'financial_year']",[],positive
Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .,"['city', 'official', 'approve', 'tax', 'rebate', 'grant', 'expansion']",[],[],positive
Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 .,"['operating', 'loss', 'amount', 'compare', 'profit', 'second', 'quarter']",['second_quarter'],[],negative
"Nokia Multimedia 's net sales totaled EUR 5.7 bn , up 45 % from the corresponding period in 2005 .","['net', 'sale', 'total', 'bn', 'corresponding', 'period']","['net_sale', 'corresponding_period']",[],positive
Net sales dropped by 6 % year-on-year to EUR 11.9 million .,"['net', 'sale', 'drop', 'year', 'year']",['net_sale'],[],negative
"Jens Schulte-Bockum , Vodafone 's global director of terminals , said the company expects to sell one to two million of the Vodafone 125 and 225 models in the first year of launch , and potentially tens of millions over the lifetime of the device .","['global', 'director', 'terminal', 'say', 'company', 'expect', 'sell', 'model', 'year', 'launch', 'potentially', 'ten', 'million', 'lifetime', 'device']","['global_director', 'first_year']",['Jens_Schulte_-_Bockum/PERSON'],positive
"The pilot project proved that RIFD technology is ideal for our purposes '' , comments Olli Saarinen , Material Handling Supervisor at Yara .","['pilot', 'project', 'prove', 'technology', 'ideal', 'purpose', 'comment']",[],['Olli_Saarinen/PERSON'],positive
"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .","['operate', 'result', 'exclude', 'item', 'total', 'compare', 'continue', 'operation', 'exclude', 'item']","['operate_result', 'continue_operation']",[],negative
